date,PM25,PM10,temp,hum,pres,wind,wind_dir,CAT,CAT_24h,CAT_48h,CAT_72h
2023-11-07,11.0,16.0,8.300359583333334,69.834225,967.68525,3.023095833333333,266.4208791666667,buena,buena,buena,buena
2023-11-08,10.0,18.0,8.22365375,54.968716666666666,975.4048750000001,4.672366041666667,283.08641666666665,buena,buena,buena,buena
2023-11-09,13.0,22.0,9.6684125,52.46330416666667,971.3347916666667,3.2255808333333333,287.64233333333334,buena,buena,buena,buena
2023-11-10,15.0,24.0,9.822537083333334,55.87685416666667,957.7499583333333,2.502222,226.46621666666667,buena,buena,buena,buena
2023-11-12,10.0,16.0,5.205417083333333,58.478454166666666,971.0754583333334,5.700337083333333,292.746375,buena,buena,buena,buena
2023-11-13,18.0,21.0,4.957340666666666,70.91154166666666,964.1349583333334,5.315435833333333,286.8629583333333,buena,buena,buena,buena
2023-11-15,14.0,18.0,5.8965275,55.569808333333334,961.9702916666666,5.151319583333334,282.797375,buena,buena,buena,buena
2023-11-19,21.0,25.0,8.263785416666666,71.45760833333334,961.5433750000001,2.3720313333333336,260.0933,buena,buena,buena,buena
2023-11-20,15.0,18.0,5.208311666666667,79.35000416666666,958.3972083333333,2.8082641250000004,289.53832125,buena,buena,buena,buena
2023-11-21,13.0,19.0,6.4701249999999995,67.74889583333334,967.8542916666667,4.338757416666667,295.28529166666664,buena,buena,buena,buena
2023-11-22,11.0,18.0,8.393091666666667,66.75145416666668,973.899625,4.516225833333333,294.761375,buena,buena,buena,buena
2023-11-23,10.0,17.0,11.261882916666666,51.980604166666666,981.0325416666666,3.0949052083333335,267.8632125,buena,buena,buena,buena
2023-11-24,11.0,24.0,14.08388125,52.26812916666666,976.2945833333333,1.8565445,235.00664583333332,buena,buena,buena,buena
2023-11-25,7.0,18.0,11.457745416666667,60.612224999999995,972.6702916666667,4.570692833333333,286.85691249999996,buena,buena,buena,buena
2023-11-26,12.0,22.0,11.110217916666668,45.91399583333333,972.650125,2.8053526666666664,277.51708333333335,buena,buena,buena,buena
2023-11-27,14.0,32.0,12.243560416666666,54.752879166666666,966.5278750000001,2.2679092916666668,258.39029999999997,buena,buena,buena,buena
2023-11-28,7.0,18.0,9.714692083333334,58.81554583333334,966.0020833333333,4.765147916666667,254.0894291666667,buena,buena,buena,buena
2023-11-29,9.0,16.0,9.86059625,64.94855,964.0827916666667,3.206399166666667,249.6035779166667,buena,buena,buena,buena
2023-11-30,10.0,16.0,10.0528025,65.1300125,960.6482083333334,2.60800125,212.17602541666668,buena,buena,buena,buena
2023-12-01,14.0,18.0,5.035142083333333,69.56872916666667,966.905875,3.08963275,289.7552166666667,buena,buena,buena,buena
2023-12-02,14.0,20.0,5.240499166666667,65.9433375,974.4445416666667,4.450982625,290.39158333333336,buena,buena,buena,buena
2023-12-03,12.0,16.0,5.8319833333333335,65.06847916666668,977.6251666666667,4.373635833333333,290.71566666666666,buena,buena,buena,buena
2023-12-04,8.0,16.0,12.805418750000001,58.048962499999995,976.1830416666667,2.1847132916666667,245.01555,buena,buena,buena,buena
2023-12-05,5.0,16.0,15.404855416666665,53.77247500000001,971.9135,2.613163875,251.04284166666665,buena,buena,buena,buena
2023-12-06,8.0,19.0,14.921284583333334,48.48767916666666,975.235875,3.040853125,260.90475,buena,buena,buena,buena
2023-12-07,10.0,28.0,15.809115652173913,50.71024782608696,975.9229565217391,1.7924388130434783,196.84363913043478,buena,buena,buena,buena
